contig_1	0	100000	1.0
contig_1	100000	200000	2.0
contig_1	200000	300000	4.0
contig_1	400000	500000	1.0
contig_1	600000	700000	2.0
contig_1	700000	800000	1.0
contig_1	800000	900000	2.0
contig_1	1000000	1100000	3.0
contig_1	1100000	1200000	1.0
contig_1	1200000	1300000	3.0
contig_1	1400000	1500000	1.0
contig_1	1500000	1600000	6.0
contig_1	1600000	1700000	3.0
contig_1	1900000	2000000	3.0
contig_1	2000000	2100000	6.0
contig_1	2200000	2300000	2.0
contig_1	2300000	2400000	4.0
contig_1	2400000	2500000	2.0
contig_1	2500000	2600000	1.0
contig_1	2600000	2700000	1.0
contig_1	2700000	2800000	4.0
contig_1	2800000	2900000	4.0
contig_1	2900000	3000000	2.0
contig_1	3100000	3200000	1.0
contig_1	3200000	3300000	1.0
contig_1	3300000	3400000	1.0
contig_1	3400000	3500000	3.0
contig_1	3500000	3514301	1.0
contig_2	0	100000	3.0
contig_2	100000	200000	3.0
contig_2	200000	300000	2.0
contig_2	300000	400000	4.0
contig_2	400000	500000	1.0
contig_2	500000	600000	2.0
contig_2	600000	700000	6.0
contig_2	700000	800000	1.0
contig_2	800000	900000	2.0
contig_2	1200000	1300000	1.0
contig_2	1300000	1400000	1.0
contig_2	1400000	1500000	3.0
contig_2	1500000	1600000	3.0
contig_2	1600000	1700000	3.0
contig_2	1700000	1800000	2.0
contig_2	1800000	1900000	2.0
contig_2	1900000	2000000	2.0
contig_2	2000000	2100000	1.0
contig_2	2100000	2200000	2.0
contig_2	2200000	2300000	2.0
contig_2	2300000	2400000	2.0
contig_2	2500000	2600000	3.0
contig_2	2600000	2700000	3.0
contig_2	2800000	2900000	1.0
contig_2	3000000	3100000	3.0
contig_2	3100000	3200000	2.0
contig_2	3200000	3300000	6.0
contig_2	3300000	3358988	5.0
contig_3	200000	300000	1.0
contig_3	300000	400000	1.0
contig_3	400000	500000	2.0
contig_3	500000	600000	1.0
contig_3	600000	700000	1.0
contig_3	700000	800000	3.0
contig_3	800000	863910	3.0
contig_4	0	100000	4.0
contig_4	100000	200000	6.0
contig_4	200000	300000	3.0
contig_4	300000	400000	5.0
contig_4	400000	500000	2.0
contig_4	500000	600000	5.0
contig_4	600000	700000	3.0
contig_4	800000	900000	2.0
contig_4	900000	1000000	1.0
contig_4	1000000	1100000	3.0
contig_4	1200000	1300000	3.0
contig_4	1300000	1400000	1.0
contig_4	1400000	1500000	2.0
contig_4	1500000	1600000	2.0
contig_4	1600000	1700000	3.0
contig_4	1800000	1900000	5.0
contig_4	1900000	2000000	4.0
contig_4	2100000	2200000	1.0
contig_4	2300000	2400000	1.0
contig_4	2400000	2500000	1.0
contig_4	2500000	2600000	2.0
contig_4	2600000	2700000	1.0
contig_4	2900000	3000000	1.0
contig_4	3000000	3100000	6.0
contig_4	3100000	3200000	3.0
contig_4	3200000	3300000	1.0
contig_4	3300000	3400000	2.0
contig_4	3400000	3500000	3.0
contig_4	3500000	3600000	3.0
contig_4	3600000	3700000	3.0
contig_4	3700000	3800000	2.0
contig_4	3800000	3900000	2.0
contig_4	3900000	4000000	2.0
contig_4	4000000	4100000	2.0
contig_4	4100000	4200000	1.0
contig_4	4300000	4400000	1.0
contig_4	4400000	4500000	2.0
contig_4	4500000	4600000	1.0
contig_4	5200000	5300000	1.0
contig_4	5300000	5400000	1.0
contig_4	5500000	5600000	1.0
contig_4	5800000	5900000	1.0
contig_4	5900000	6000000	1.0
contig_4	6200000	6300000	3.0
contig_4	6500000	6600000	1.0
contig_4	6700000	6800000	1.0
contig_4	6800000	6900000	3.0
contig_4	7300000	7400000	2.0
contig_4	7700000	7800000	2.0
contig_4	8000000	8100000	1.0
contig_4	8200000	8300000	2.0
contig_4	8300000	8400000	1.0
contig_4	8400000	8500000	1.0
contig_4	8600000	8700000	1.0
contig_4	8700000	8800000	2.0
contig_4	8900000	8942742	5.0
contig_5	0	100000	4.0
contig_5	100000	200000	4.0
contig_5	200000	300000	1.0
contig_5	500000	600000	3.0
contig_5	600000	700000	4.0
contig_5	700000	800000	2.0
contig_5	800000	900000	3.0
contig_5	900000	1000000	1.0
contig_5	1100000	1200000	2.0
contig_5	1200000	1300000	1.0
contig_5	1300000	1400000	5.0
contig_5	1400000	1500000	1.0
contig_5	1500000	1600000	3.0
contig_5	1600000	1700000	2.0
contig_5	1700000	1800000	1.0
contig_5	1800000	1900000	1.0
contig_5	1900000	2000000	2.0
contig_5	2000000	2028580	1.0
contig_6	100000	200000	1.0
contig_6	200000	300000	3.0
contig_6	300000	400000	1.0
contig_6	400000	500000	3.0
contig_6	500000	600000	2.0
contig_6	600000	700000	2.0
contig_6	700000	800000	4.0
contig_6	800000	900000	4.0
contig_6	900000	1000000	3.0
contig_6	1000000	1100000	1.0
contig_6	1100000	1200000	1.0
contig_6	1400000	1500000	3.0
contig_6	1500000	1600000	2.0
contig_6	1600000	1700000	2.0
contig_6	1800000	1900000	1.0
contig_6	1900000	2000000	3.0
contig_6	2000000	2100000	1.0
contig_6	2100000	2200000	2.0
contig_6	2200000	2300000	1.0
contig_6	2400000	2500000	2.0
contig_6	2600000	2700000	1.0
contig_6	2700000	2800000	1.0
contig_6	2800000	2900000	1.0
contig_6	3000000	3100000	1.0
contig_6	3400000	3500000	1.0
contig_6	3800000	3900000	3.0
contig_6	3900000	4000000	4.0
contig_6	4100000	4200000	1.0
contig_6	4400000	4500000	1.0
contig_6	4500000	4600000	1.0
contig_6	4600000	4700000	1.0
contig_6	4900000	5000000	2.0
contig_6	5000000	5100000	2.0
contig_6	5200000	5300000	1.0
contig_6	5400000	5500000	4.0
contig_6	5600000	5700000	1.0
contig_6	5700000	5800000	1.0
contig_6	6000000	6100000	1.0
contig_6	6200000	6300000	1.0
contig_6	6300000	6400000	1.0
contig_6	6500000	6600000	7.0
contig_6	6700000	6800000	1.0
contig_6	6800000	6900000	1.0
contig_6	6900000	7000000	1.0
contig_6	7000000	7100000	2.0
contig_6	7300000	7400000	1.0
contig_6	7500000	7600000	1.0
contig_6	7600000	7700000	4.0
contig_6	7700000	7800000	5.0
contig_6	7800000	7900000	1.0
contig_6	7900000	8000000	1.0
contig_6	8000000	8100000	1.0
contig_6	8100000	8200000	1.0
contig_6	8200000	8300000	1.0
contig_6	8300000	8400000	2.0
contig_6	8400000	8500000	2.0
contig_6	8500000	8600000	3.0
contig_6	8600000	8700000	1.0
contig_6	9100000	9200000	1.0
contig_6	9300000	9400000	1.0
contig_6	9400000	9500000	1.0
contig_6	9600000	9700000	1.0
contig_6	10000000	10100000	4.0
contig_6	10100000	10200000	6.0
contig_6	10200000	10300000	1.0
contig_6	10300000	10400000	1.0
contig_6	10500000	10600000	2.0
contig_6	10600000	10700000	3.0
contig_6	10700000	10800000	4.0
contig_6	10800000	10900000	8.0
contig_6	10900000	11000000	2.0
contig_6	11000000	11100000	4.0
contig_6	11100000	11200000	2.0
contig_6	11200000	11300000	7.0
contig_6	11300000	11400000	1.0
contig_6	11400000	11497185	6.0
contig_7	0	100000	1.0
contig_7	100000	200000	2.0
contig_7	300000	400000	1.0
contig_7	400000	500000	3.0
contig_7	500000	600000	1.0
contig_7	800000	900000	2.0
contig_7	900000	1000000	2.0
contig_7	1000000	1100000	2.0
contig_7	1100000	1200000	1.0
contig_7	1200000	1300000	2.0
contig_7	1300000	1400000	1.0
contig_7	1400000	1437622	1.0
contig_8	0	100000	2.0
contig_8	200000	300000	1.0
contig_8	700000	800000	1.0
contig_8	800000	900000	2.0
contig_8	900000	1000000	1.0
contig_8	1000000	1012219	1.0
contig_9	0	100000	1.0
contig_9	200000	300000	3.0
contig_9	500000	600000	2.0
contig_9	700000	800000	2.0
contig_9	800000	900000	1.0
contig_9	1100000	1200000	1.0
contig_9	1200000	1300000	3.0
contig_9	1300000	1400000	2.0
contig_9	1400000	1500000	2.0
contig_9	1600000	1700000	4.0
contig_9	1700000	1800000	2.0
contig_9	1900000	2000000	1.0
contig_9	2200000	2300000	1.0
contig_9	2300000	2400000	3.0
contig_9	2400000	2500000	3.0
contig_9	2900000	2903463	1.0
contig_10	0	100000	1.0
contig_10	100000	200000	1.0
contig_10	200000	300000	1.0
contig_10	300000	400000	3.0
contig_10	400000	500000	1.0
contig_10	500000	600000	2.0
contig_10	600000	700000	4.0
contig_10	700000	800000	1.0
contig_10	800000	900000	4.0
contig_10	900000	1000000	2.0
contig_10	1000000	1100000	1.0
contig_10	1100000	1200000	1.0
contig_10	1200000	1300000	1.0
contig_10	1300000	1400000	5.0
contig_10	1400000	1500000	3.0
contig_10	1700000	1800000	2.0
contig_10	1800000	1900000	8.0
contig_10	1900000	2000000	1.0
contig_10	2000000	2100000	6.0
contig_10	2100000	2200000	2.0
contig_10	2200000	2300000	6.0
contig_10	2300000	2400000	2.0
contig_10	2400000	2500000	1.0
contig_10	2700000	2800000	2.0
contig_10	2800000	2900000	7.0
contig_10	2900000	3000000	4.0
contig_10	3000000	3100000	7.0
contig_10	3100000	3200000	6.0
contig_10	3200000	3300000	2.0
contig_10	3300000	3400000	4.0
contig_10	3400000	3500000	6.0
contig_10	3600000	3700000	2.0
contig_10	3700000	3800000	3.0
contig_10	3800000	3816597	1.0
contig_11	0	100000	7.0
contig_11	100000	200000	3.0
contig_11	200000	300000	6.0
contig_11	300000	400000	1.0
contig_11	400000	500000	3.0
contig_11	700000	800000	1.0
contig_11	900000	1000000	3.0
contig_11	1000000	1100000	1.0
contig_11	1100000	1200000	2.0
contig_11	1200000	1300000	1.0
contig_11	1300000	1400000	2.0
contig_11	1400000	1432662	3.0
contig_12	0	100000	3.0
contig_12	100000	200000	1.0
contig_12	300000	400000	2.0
contig_12	400000	500000	1.0
contig_12	500000	600000	1.0
contig_12	700000	800000	1.0
contig_12	800000	900000	1.0
contig_12	900000	1000000	2.0
contig_12	1000000	1100000	2.0
contig_12	1100000	1200000	6.0
contig_12	1200000	1273166	7.0
contig_13	0	100000	1.0
contig_13	100000	200000	1.0
contig_13	200000	300000	3.0
contig_13	300000	400000	2.0
contig_13	400000	500000	1.0
contig_13	500000	600000	2.0
contig_13	600000	700000	2.0
contig_13	800000	900000	2.0
contig_13	1000000	1100000	6.0
contig_13	1100000	1200000	5.0
contig_13	1200000	1300000	5.0
contig_13	1300000	1400000	2.0
contig_13	1400000	1500000	5.0
contig_13	1500000	1600000	4.0
contig_13	1600000	1700000	2.0
contig_13	1800000	1900000	3.0
contig_13	1900000	2000000	2.0
contig_13	2000000	2100000	1.0
contig_13	2100000	2200000	1.0
contig_13	2200000	2300000	1.0
contig_13	2300000	2400000	4.0
contig_13	2400000	2500000	1.0
contig_13	2500000	2600000	3.0
contig_13	2600000	2700000	2.0
contig_13	2700000	2800000	1.0
contig_13	2800000	2830559	1.0
contig_14	300000	400000	1.0
contig_14	500000	600000	4.0
contig_14	600000	700000	7.0
contig_14	700000	800000	9.0
contig_14	800000	900000	5.0
contig_14	900000	1000000	3.0
contig_14	1000000	1100000	1.0
contig_14	1100000	1200000	4.0
contig_14	1200000	1300000	3.0
contig_14	1300000	1400000	1.0
contig_14	1600000	1700000	3.0
contig_14	1700000	1800000	3.0
contig_14	1900000	2000000	5.0
contig_14	2100000	2200000	1.0
contig_14	2200000	2300000	5.0
contig_14	2300000	2400000	2.0
contig_14	2400000	2500000	1.0
contig_14	2500000	2600000	1.0
contig_14	2600000	2700000	2.0
contig_14	2700000	2800000	1.0
contig_14	2900000	3000000	2.0
contig_14	3000000	3100000	2.0
contig_14	3100000	3200000	2.0
contig_14	3200000	3300000	2.0
contig_14	3300000	3400000	5.0
contig_14	3400000	3500000	2.0
contig_14	3500000	3600000	1.0
contig_14	3600000	3700000	2.0
contig_14	3700000	3800000	1.0
contig_14	3900000	4000000	2.0
contig_14	4000000	4100000	2.0
contig_14	4100000	4200000	3.0
contig_14	4200000	4260047	3.0
contig_15	100000	200000	9.0
contig_15	200000	215404	1.0
contig_16	0	100000	2.0
contig_16	100000	200000	4.0
contig_16	200000	300000	1.0
contig_16	400000	500000	1.0
contig_16	800000	900000	2.0
contig_16	900000	1000000	1.0
contig_16	1000000	1100000	4.0
contig_16	1100000	1200000	3.0
contig_16	1400000	1500000	1.0
contig_16	1500000	1600000	3.0
contig_16	1600000	1700000	2.0
contig_16	1700000	1800000	2.0
contig_16	1800000	1900000	1.0
contig_16	2000000	2064056	4.0
contig_17	0	100000	1.0
contig_17	100000	200000	9.0
contig_17	200000	300000	5.0
contig_17	300000	400000	2.0
contig_17	500000	600000	5.0
contig_17	600000	700000	1.0
contig_17	700000	800000	1.0
contig_17	800000	900000	3.0
contig_17	900000	1000000	2.0
contig_17	1000000	1100000	7.0
contig_17	1100000	1200000	4.0
contig_17	1200000	1300000	1.0
contig_17	1400000	1500000	2.0
contig_17	1700000	1800000	3.0
contig_17	1800000	1900000	1.0
contig_17	1900000	2000000	2.0
contig_17	2300000	2400000	2.0
contig_17	2600000	2700000	2.0
contig_17	2700000	2800000	1.0
contig_17	2800000	2900000	1.0
contig_17	2900000	3000000	6.0
contig_17	3100000	3200000	1.0
contig_17	3200000	3300000	1.0
contig_17	3300000	3400000	1.0
contig_17	3400000	3500000	1.0
contig_17	3500000	3600000	1.0
contig_17	3600000	3700000	2.0
contig_17	3700000	3800000	3.0
contig_17	3800000	3900000	1.0
contig_17	3900000	4000000	1.0
contig_17	4000000	4100000	1.0
contig_17	4100000	4200000	2.0
contig_17	4300000	4400000	1.0
contig_17	4400000	4435847	2.0
contig_18	100000	200000	1.0
contig_18	200000	300000	1.0
contig_18	300000	400000	6.0
contig_18	400000	500000	2.0
contig_18	600000	700000	1.0
contig_18	700000	800000	2.0
contig_18	800000	900000	2.0
contig_18	900000	1000000	3.0
contig_18	1000000	1100000	1.0
contig_18	1100000	1200000	1.0
contig_18	1200000	1300000	3.0
contig_18	1300000	1400000	2.0
contig_18	1400000	1500000	2.0
contig_18	1500000	1600000	3.0
contig_18	1700000	1800000	1.0
contig_18	1800000	1900000	1.0
contig_18	2000000	2100000	1.0
contig_18	2100000	2200000	2.0
contig_18	2200000	2300000	1.0
contig_18	2400000	2500000	3.0
contig_18	2600000	2700000	2.0
contig_18	2700000	2800000	2.0
contig_18	2800000	2900000	1.0
contig_18	2900000	3000000	1.0
contig_18	3000000	3100000	10.0
contig_18	3100000	3200000	2.0
contig_18	3200000	3294210	4.0
contig_19	0	100000	2.0
contig_19	400000	500000	3.0
contig_19	1100000	1200000	3.0
contig_19	1200000	1300000	4.0
contig_19	1300000	1400000	3.0
contig_19	1400000	1500000	1.0
contig_19	1500000	1600000	1.0
contig_19	1600000	1700000	3.0
contig_19	1700000	1800000	1.0
contig_19	2000000	2100000	1.0
contig_19	2100000	2200000	1.0
contig_19	2200000	2300000	2.0
contig_19	2400000	2500000	1.0
contig_19	2500000	2600000	1.0
contig_19	2700000	2800000	2.0
contig_19	3000000	3100000	1.0
contig_19	3400000	3500000	1.0
contig_19	3600000	3700000	1.0
contig_19	3800000	3900000	1.0
contig_19	3900000	4000000	1.0
contig_19	4000000	4100000	2.0
contig_19	4100000	4200000	4.0
contig_19	4200000	4300000	4.0
contig_19	4300000	4400000	2.0
contig_19	4700000	4800000	1.0
contig_19	5000000	5100000	1.0
